date,state,death,deathIncrease,hospitalized,hospitalizedIncrease,negative,negativeIncrease,positive,positiveIncrease
12/31/20,AK,206,3,1023,6,1230289,8163,45461,495
12/31/20,AL,4827,53,34184,353,1583419,8344,361226,4406
12/31/20,AR,3676,39,11358,87,1864704,10591,225138,2708
12/31/20,AZ,8864,146,37257,473,2339635,15472,520207,7718
12/31/20,CA,25386,428,0,0,30610103,205169,2245379,27237
12/31/20,CO,4814,64,18598,96,1815569,6029,334097,3238
12/31/20,CT,5995,31,12257,0,4134985,21067,185708,2045
12/31/20,DC,786,6,0,0,868456,4450,28983,225
12/31/20,DE,926,5,0,0,452629,1747,57456,860
12/31/20,FL,21990,133,63741,366,7405064,44106,1300528,16827
12/31/20,GA,10934,88,42084,306,4782714,36098,566676,8499
12/31/20,HI,288,3,1768,12,0,0,21832,188
12/31/20,IA,3891,69,0,0,932046,1726,239173,1323
12/31/20,ID,1403,10,5567,48,427418,1781,139864,1340
12/31/20,IL,17978,167,0,0,12314054,91417,963389,8009
12/31/20,IN,8263,103,34999,238,2125210,7348,511485,6468
12/31/20,KS,2741,0,6760,0,778799,0,222433,0
12/31/20,KY,2623,0,13488,0,2935350,0,265262,0
12/31/20,LA,7488,40,0,0,3898907,25368,315275,4046
12/31/20,MA,12423,85,16098,193,3658165,17397,375178,7260
12/31/20,MD,5895,47,26636,189,2525806,8950,276662,2973
12/31/20,ME,347,13,1065,26,1087212,8213,24201,702
12/31/20,MI,13018,0,0,0,7584454,0,528621,0
12/31/20,MN,5323,61,21864,116,2571846,9767,415302,2195
12/31/20,MO,5519,28,0,0,1652302,3333,392570,3714
12/31/20,MS,4787,40,8145,0,1127658,0,215811,2756
12/31/20,MT,961,11,3568,15,710034,4526,81555,255
12/31/20,NC,6748,19,0,0,6404558,56893,539545,6715
12/31/20,ND,1289,0,3552,10,283253,-581,92495,293
12/31/20,NE,1611,8,5220,33,679235,2224,165297,1516
12/31/20,NH,759,18,902,1,479590,2517,44028,786
12/31/20,NJ,19042,90,47326,236,7258415,32551,526985,5712
12/31/20,NM,2477,41,9689,75,1827348,13854,142864,1678
12/31/20,NV,3125,59,0,0,938024,2964,224731,2137
12/31/20,NY,30040,135,89995,0,24310846,199785,974214,16802
12/31/20,OH,8962,107,38334,332,7051934,47782,700380,9632
12/31/20,OK,2489,36,17059,246,2377309,14965,290936,3906
12/31/20,OR,1468,19,6455,101,2520215,17884,112260,1033
12/31/20,PA,15978,306,0,0,3265129,10832,640325,8992
12/31/20,RI,1809,32,6506,0,548124,2460,89541,1592
12/31/20,SC,5296,47,14390,154,2865514,18155,307507,4032
12/31/20,SD,1488,24,5672,33,273476,737,99164,444
12/31/20,TN,6907,97,14531,114,5057256,19797,586802,5993
12/31/20,TX,27437,349,0,0,12191729,66381,1756172,18725
12/31/20,UT,1269,13,10956,83,1302491,5624,276612,4672
12/31/20,VA,5032,48,18041,131,3962545,31334,349584,5239
12/31/20,VT,136,2,0,0,255684,1152,7412,136
12/31/20,WA,3420,51,14571,126,3572397,5800,242330,1484
12/31/20,WI,5242,50,21350,143,2350669,5898,520438,4212
12/31/20,WV,1338,20,0,0,1429186,18317,85334,1109
12/31/20,WY,438,33,1102,6,159528,598,44409,276
12/30/20,AK,203,2,1017,13,1222126,6862,44966,385
12/30/20,AL,4774,37,33831,379,1575075,3822,356820,5016
12/30/20,AR,3637,34,11271,103,1854113,12244,222430,3184
12/30/20,AZ,8718,78,36784,709,2324163,13587,512489,5267
12/30/20,CA,24958,432,0,0,30404934,217684,2218142,30921
12/30/20,CO,4750,63,18502,272,1809540,5337,330859,2451
12/30/20,CT,5964,40,12257,0,4113918,16970,183663,1696
12/30/20,DC,780,5,0,0,864006,3549,28758,223
12/30/20,DE,921,23,0,0,450882,1259,56596,407
12/30/20,FL,21857,139,63375,376,7360958,28033,1283701,13638
12/30/20,GA,10846,67,41778,375,4746616,18046,558177,5465
12/30/20,HI,285,0,1756,10,0,0,21644,106
12/30/20,IA,3822,10,0,0,930320,1067,237850,1052
12/30/20,ID,1393,16,5519,43,425637,492,138524,1514
12/30/20,IL,17811,215,0,0,12222637,67199,955380,7374
12/30/20,IN,8160,109,34761,227,2117862,4469,505017,4735
12/30/20,KS,2741,193,6760,192,778799,9048,222433,6371
12/30/20,KY,2623,29,13488,264,2935350,17718,265262,3770
12/30/20,LA,7448,51,0,0,3873539,35916,311229,6744
12/30/20,MA,12338,120,15905,0,3640768,15115,367918,6839
12/30/20,MD,5848,45,26447,200,2516856,8777,273689,2628
12/30/20,ME,334,1,1039,-2,1078999,5435,23499,590
12/30/20,MI,13018,52,0,0,7584454,43822,528621,4782
12/30/20,MN,5262,66,21748,143,2562079,6325,413107,1997
12/30/20,MO,5491,58,0,0,1648969,3080,388856,2761
12/30/20,MS,4747,28,8145,0,1127658,0,213055,3023
12/30/20,MT,950,11,3553,39,705508,2439,81300,874
12/30/20,NC,6729,155,0,0,6347665,29275,532830,8551
12/30/20,ND,1289,6,3542,9,283834,-2210,92202,371
12/30/20,NE,1603,16,5187,28,677011,1062,163781,932
12/30/20,NH,741,6,901,0,477073,1062,43242,545
12/30/20,NJ,18952,175,47090,306,7225864,0,521273,5230
12/30/20,NM,2436,33,9614,101,1813494,7084,141186,1311
12/30/20,NV,3066,47,0,0,935060,2170,222594,2470
12/30/20,NY,29905,149,89995,0,24111061,141527,957412,13422
12/30/20,OH,8855,133,38002,366,7004152,20272,690748,8178
12/30/20,OK,2453,48,16813,387,2362344,26435,287030,3249
12/30/20,OR,1449,16,6354,77,2502331,14485,111227,682
12/30/20,PA,15672,319,0,0,3254297,10194,631333,8984
12/30/20,RI,1777,17,6506,53,545664,1581,87949,1160
12/30/20,SC,5249,51,14236,133,2847359,14676,303475,2873
12/30/20,SD,1464,18,5639,34,272739,738,98720,562
12/30/20,TN,6810,100,14417,141,5037459,21115,580809,8220
12/30/20,TX,27088,326,0,0,12125348,52080,1737447,21469
12/30/20,UT,1256,21,10873,110,1296867,4593,271940,2614
12/30/20,VA,4984,64,17910,128,3931211,27244,344345,4048
12/30/20,VT,134,4,0,0,254532,473,7276,74
12/30/20,WA,3369,174,14445,169,3566597,27607,240846,2174
12/30/20,WI,5192,40,21207,126,2344771,4607,516226,3170
12/30/20,WV,1318,34,0,0,1410869,10196,84225,1452
12/30/20,WY,405,0,1096,3,158930,522,44133,210
12/29/20,AK,201,1,1004,10,1215264,5273,44581,175
12/29/20,AL,4737,25,33452,453,1571253,5055,351804,3907
12/29/20,AR,3603,66,11168,106,1841869,5901,219246,2718
12/29/20,AZ,8640,171,36075,445,2310576,9244,507222,2799
12/29/20,CA,24526,242,0,0,30187250,214710,2187221,31245
12/29/20,CO,4687,56,18230,268,1804203,3265,328408,1740
12/29/20,CT,5924,20,12257,0,4096948,12916,181967,767
12/29/20,DC,775,4,0,0,860457,2924,28535,193
12/29/20,DE,898,0,0,0,449623,1454,56189,701
12/29/20,FL,21718,105,62999,492,7332925,32749,1270063,11748
12/29/20,GA,10779,83,41403,451,4728570,26836,552712,5853
12/29/20,HI,285,0,1746,-5,0,0,21538,75
12/29/20,IA,3812,67,0,0,929253,519,236798,697
12/29/20,ID,1377,23,5476,51,425145,778,137010,795
12/29/20,IL,17596,126,0,0,12155438,61142,948006,5644
12/29/20,IN,8051,165,34534,262,2113393,4030,500282,3976
12/29/20,KS,2548,0,6568,0,769751,0,216062,0
12/29/20,KY,2594,31,13224,125,2917632,1832,261492,2975
12/29/20,LA,7397,61,0,0,3837623,29998,304485,3946
12/29/20,MA,12218,60,15905,0,3625653,10993,361079,4145
12/29/20,MD,5803,63,26247,169,2508079,5754,271061,1878
12/29/20,ME,333,7,1041,9,1073564,4073,22909,590
12/29/20,MI,12966,212,0,0,7540632,19672,523839,3963
12/29/20,MN,5196,36,21605,185,2555754,304,411110,972
12/29/20,MO,5433,117,0,0,1645889,3275,386095,2479
12/29/20,MS,4719,85,8145,0,1127658,0,210032,1943
12/29/20,MT,939,12,3514,50,703069,1050,80426,427
12/29/20,NC,6574,13,0,0,6318390,23078,524279,3563
12/29/20,ND,1283,12,3533,33,286044,605,91831,272
12/29/20,NE,1587,28,5159,51,675949,1644,162849,875
12/29/20,NH,735,20,901,6,476011,1159,42697,1027
12/29/20,NJ,18777,126,46784,301,7225864,32311,516043,4407
12/29/20,NM,2403,23,9513,108,1806410,5988,139875,1216
12/29/20,NV,3019,46,0,0,932890,1481,220124,1747
12/29/20,NY,29756,127,89995,0,23969534,148726,943990,11438
12/29/20,OH,8722,151,37636,560,6983880,19090,682570,7526
12/29/20,OK,2405,22,16426,90,2335909,21237,283781,1194
